id,nombre,unidad_aca,sede,dirreccion,barrio,comuna,telefono,fax,web,geometry
11,Instituto Universitario de la Policía Federal Argentina,Escuela de Enfermería Nuestra Señora de los Remedios - Escuela de Instrumentación Quirúrgica - Facultad de Ciencias Biomédicas,,Uspallata 3400,Parque Patricios,Comuna 4,4909-4100 // 4909-4121/4179,4909-4121,www.universidad-policial.edu.a,POINT (-58.41166447299968 -34.63951196927601)
12,Instituto Universitario de la Policía Federal Argentina,Facultad de Ciencias Biomédicas - Facultad de Ciencias de la Criminalística - Facultad de Ciencias de la Seguridad - Facultad de Ciencias Jurídicas y Sociales - Rectorado,,Rosario 532,Caballito,Comuna 6,4903-7516/ 4902-4543/ 4902-4201/ 4901-9783,4909-4207,www.universidad-policial.edu.a,POINT (-58.4364030156678 -34.61955416479017)
13,Instituto Universitario de la Policía Federal Argentina,Centro de Educación a Distancia Universitaria,,Cavia 3378,Palermo,Comuna 14,4809-6162/ 4809-6161,,www.universidad-policial.edu.a,POINT (-58.403927443453235 -34.57361424960638)
14,Instituto Universitario de Salud Mental de la Asociación Psicoanalitica de Buenos Aires,Rectorado,,Maure 1850,Palermo,Comuna 14,4775-7867/7985/4779-0512,4775-7867,www.iusam.edu.ar,POINT (-58.436992374136835 -34.567986473179666)
15,Instituto Universitario de Seguridad Marítima,Rectorado,,"Corrientes Av. 345, Piso 12",San Nicolas,Comuna 1,4576-7655/4576-7611/13/4576-7611,4576-7655,,POINT (-58.37187239884903 -34.60302417203327)
16,Instituto Universitario Escuela Argentina de Negocios,Rectorado,,Cordoba Av. 1690,San Nicolas,Comuna 1,5032-3991/3900,5032-3901,http://www.iuean.edu.ar/,POINT (-58.39126611829887 -34.59962704913345)
17,"Instituto Universitario ""Escuela de Medicina del Hospital Italiano""",Rectorado,,Potosi 4240,Almagro,Comuna 5,4983-2624 [C]495-90200,4983-2624,www.hospitalitaliano.org.ar/es,POINT (-58.42680796180037 -34.607330852298546)
18,"Instituto Universitario ""Escuela Superior de Economía y Administración de Empresas",Departamento de Administración y Formación Empresarial - Departamento de Economía y Ciencias Sociales - Rectorado,,Uriarte 2472,Palermo,Comuna 14,4773-3735/4773-5825/4772-7243,4773-3735,www.eseade.edu.ar,POINT (-58.42307053438688 -34.58087851145939)
19,Instituto Universitario IDEA,Rectorado,,"Moreno 1850, pisos 1º, 2º, 3º, 4º, 5º",Balvanera,Comuna 3,5861-4307 (C)5861-4300,5861-4397,www.ideared.org,POINT (-58.392511019810684 -34.61275616357428)
20,Instituto Universitario ISEDET,Facultad de Teología,,Camacua 252,Flores,Comuna 7,4632-5030/5039/4361-0882,4633-2825,www.isedet.edu.ar,POINT (-58.457216329254464 -34.63071248594855)
21,Instituto Universitario ISEDET,Rectorado,,Camacua 282,Flores,Comuna 7,4632-5030/5039/4361-0882,4633-2825,www.isedet.edu.ar,POINT (-58.45716994423735 -34.63081261734273)
22,Instituto Universitario Naval,Escuela de Guerra Naval,,Del Libertador Av. 8071,Nuñez,Comuna 13,4704-7725,4704-8253,www.inun.edu.ar,POINT (-58.46369022406898 -34.54089570506927)
